address,bank,buy,currency,sell,source
,КАМКОМБАНК,79.35,USD,79.85,Banki
,Банк Казани,79.15,USD,79.89,Banki
,Экспобанк,77.5,USD,80.9,Banki
,А7-финансы ПСБ,78.02,USD,80.95,Banki
,Газпромбанк,76.0,USD,83.1,Banki
,Альфа-Банк,77.0,USD,79.0,Banki
,Норвик Банк,77.45,USD,79.2,Banki
,МТС Банк,77.9,USD,81.9,Banki
,Банк «Приморье»,77.8,USD,80.0,Banki
,Агророс Банк,78.34,USD,80.79,Banki
,Реалист Банк,78.7,USD,80.6,Banki
,Внешфинбанк,78.8,USD,80.2,Banki
,Т-Банк,75.85,USD,80.5,Banki
,БыстроБанк,78.6,USD,78.85,Banki
,Трансстройбанк,78.0,USD,80.3,Banki
,Первый Инвестиционный Банк,78.8,USD,81.6,Banki
,СОЦИУМ-БАНК,78.03,USD,80.39,Banki
,Банк РМП,78.0,USD,80.8,Banki
,Живаго банк,77.5,USD,79.45,Banki
,Банк ЗЕНИТ,77.5,USD,82.0,Banki
,Промсельхозбанк,75.0,USD,81.0,Banki
,Ак Барс Банк,79.2,USD,81.0,Banki
,ПСБ,79.13,USD,82.73,Banki
,Банк «Санкт-Петербург»,78.7,USD,81.4,Banki
,Инго Банк,78.6,USD,78.6,Banki
,Солид Банк,78.0,USD,79.25,Banki
,НС Банк,77.0,USD,80.5,Banki
,Металлинвестбанк,76.7,USD,79.5,Banki
,Уралсиб,76.26,USD,82.47,Banki
,Совкомбанк,76.25,USD,79.75,Banki
,Банк ДОМ.РФ,76.0,USD,86.0,Banki
,Ренессанс Банк,74.8,USD,83.9,Banki
,Райффайзен Банк,89.0,USD,,Banki
