source,bank,currency,buy,sell,address
RBC,"АКБ ""Трансстройбанк"" (АО) ДО ""Домодедово""",USD,86.0,71.0,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 263",USD,81.7,79.2,
RBC,"АКБ ""Трансстройбанк"" (АО) ДО ""Внуково""",USD,86.5,71.0,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Алтуфьево""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 167",USD,80.5,78.5,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Теплый Стан""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 176",USD,81.7,79.1,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Каширский""",USD,79.7,78.5,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Лефортово""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ДО № 242",USD,81.7,79.1,
RBC,"АО КБ ""ЮНИСТРИМ"" ДО № 247",USD,81.7,79.2,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 27",USD,82.4,79.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 130",USD,81.2,79.2,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Белая Дача""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 211",USD,80.5,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 69",USD,81.7,79.1,
RBC,"АО КБ ""ЮНИСТРИМ"" ДО № 235",USD,81.7,79.2,
RBC,"АО КБ ""ЮНИСТРИМ"" ДО № 265",USD,81.6,78.0,
RBC,"КБ ""ЭНЕРГОТРАНСБАНК"" (АО) ДО ""Нижегородский""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 74",USD,81.7,79.2,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 11",USD,81.5,78.6,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 208",USD,80.5,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 193",USD,81.7,79.2,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 190",USD,80.5,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ДО № 268",USD,81.5,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 79",USD,80.5,78.5,
RBC,"АКБ ""Трансстройбанк"" (АО) ДО ""Теплый Стан""",USD,79.7,78.5,
RBC,"АО КБ ""ЮНИСТРИМ"" ОО № 153",USD,81.7,79.2,
