id,name,address,rating,rating_text,reviews_count,reviews_text,working_status,latitude,longitude,coordinates,url,categories
38786256215,Операционная касса,"Профсоюзная ул., 1/24",5.0,"5,0",286,286 оценок,Круглосуточно,55.686708,37.57301,"37.573010,55.686708",https://yandex.ru/maps/org/operatsionnaya_kassa/38786256215/,Обмен валюты
229064404313,Обмен валюты Молодежная,"Ярцевская ул., 29, корп. 1",5.0,"5,0",193,193 оценки,Открыто до среды,55.742372,37.417706,"37.417706,55.742372",https://yandex.ru/maps/org/obmen_valyuty_molodezhnaya/229064404313/,Обмен валюты
1017345598,СберБанк,"Жулебинский бул., 28, корп. 1",4.6,"4,6",1133,1133 оценки,Закрыто до завтра,55.689979,37.854541,"37.854541,55.689979",https://yandex.ru/maps/org/sberbank/1017345598/,"Банк, обмен валюты"
187278104868,Банк ДОМ.РФ,"Кутузовский просп., 2/1к1А",5.0,"5,0",497,497 оценок,Закрыто до завтра,55.750703,37.564836,"37.564836,55.750703",https://yandex.ru/maps/org/bank_dom_rf/187278104868/,"Банк, обмен валюты"
1186173855,СберБанк,"ул. Объединения, 7/27, Балашиха",4.8,"4,8",3626,3626 оценок,Закрыто до завтра,55.826481,37.970081,"37.970081,55.826481",https://yandex.ru/maps/org/sberbank/1186173855/,"Банк, обмен валюты"
118642499156,СберБанк,"1-я Вольская ул., 22, корп. 1",4.8,"4,8",1971,1971 оценка,Закрыто до завтра,55.683254,37.925625,"37.925625,55.683254",https://yandex.ru/maps/org/sberbank/118642499156/,"Банк, обмен валюты"
45262829698,Камкомбанк,"Ореховый бул., 13, Москва",5.0,"5,0",130,130 оценок,Открыто до 22:00,55.611511,37.719621,"37.719621,55.611511",https://yandex.ru/maps/org/kamkombank/45262829698/,"Банк, обмен валюты"
219469257175,Банк Авангард,"Новорязанское ш., 7, Люберцы, этаж 1",4.1,"4,1",43,43 оценки,Открыто до 22:00,55.669929,37.871344,"37.871344,55.669929",https://yandex.ru/maps/org/bank_avangard/219469257175/,"Банк, обмен валюты"
13276952943,Камкомбанк,"Люблинская ул., 171",4.9,"4,9",843,843 оценки,Открыто до 22:00,55.647302,37.746685,"37.746685,55.647302",https://yandex.ru/maps/org/kamkombank/13276952943/,"Банк, обмен валюты"
214318818227,Совкомбанк,"Октябрьский просп., 179/16, Люберцы",4.2,"4,2",633,633 оценки,Закрыто до завтра,55.679726,37.894974,"37.894974,55.679726",https://yandex.ru/maps/org/sovkombank/214318818227/,"Банк, обмен валюты"
11750282248,Камкомбанк,"Свободный просп., 37/18",4.8,"4,8",695,695 оценок,Открыто до 22:00,55.748661,37.816501,"37.816501,55.748661",https://yandex.ru/maps/org/kamkombank/11750282248/,"Банк, обмен валюты"
1159241969,Банк Авангард,"ул. Побратимов, 7, Люберцы, этаж 1",4.3,"4,3",170,170 оценок,До закрытия 2 мин,55.69259,37.896875,"37.896875,55.692590",https://yandex.ru/maps/org/bank_avangard/1159241969/,"Банк, обмен валюты"
147389928709,Камкомбанк,"Каширское ш., 26, корп. 3",4.9,"4,9",388,388 оценок,Открыто до 22:00,55.65309,37.647506,"37.647506,55.653090",https://yandex.ru/maps/org/kamkombank/147389928709/,"Банк, обмен валюты"
240816334213,Банк Авангард,"ул. Генерала Кузнецова, 22, Москва, ТЦ Миля",3.9,"3,9",61,61 оценка,Открыто до 22:00,55.686098,37.85331,"37.853310,55.686098",https://yandex.ru/maps/org/bank_avangard/240816334213/,"Банк, обмен валюты"
221832346296,Банк Авангард,"3-й Монетчиковский пер., 11, стр. 1",5.0,"5,0",821,821 оценка,Закрыто до завтра,55.732167,37.629487,"37.629487,55.732167",https://yandex.ru/maps/org/bank_avangard/221832346296/,"Банк, обмен валюты"
47043070900,Банк Центрокредит,"Новорязанское ш., 11/1, Люберцы",4.2,"4,2",27,27 оценок,Закрыто до завтра,55.658093,37.897496,"37.897496,55.658093",https://yandex.ru/maps/org/bank_tsentrokredit/47043070900/,"Банк, обмен валюты"
109304998893,Внешфинбанк,"Рязанский просп., 77, этаж цокольный",3.9,"3,9",299,299 оценок,Закрыто до завтра,55.717224,37.795285,"37.795285,55.717224",https://yandex.ru/maps/org/vneshfinbank/109304998893/,"Обмен валюты, банк"
46661845013,Банк Авангард,"1-й Покровский пр., 5, Котельники, этаж 1",3.8,"3,8",59,59 оценок,Открыто до 22:00,55.65359,37.843743,"37.843743,55.653590",https://yandex.ru/maps/org/bank_avangard/46661845013/,"Банк, обмен валюты"
30761058264,Внешфинбанк,"Пятницкая ул., 55/25с4",4.5,"4,5",741,741 оценка,Закрыто до завтра,55.734205,37.627903,"37.627903,55.734205",https://yandex.ru/maps/org/vneshfinbank/30761058264/,"Банк, обмен валюты"
44432772695,Камкомбанк,"Первомайская ул., 5, Москва",5.0,"5,0",217,217 оценок,Открыто до 22:00,55.791085,37.773113,"37.773113,55.791085",https://yandex.ru/maps/org/kamkombank/44432772695/,"Банк, обмен валюты"
210485772395,Юнистрим,"МКАД, 14-й километр, 4, Москва, Линия А, павильон 10а, этаж 2",3.7,"3,7",28,28 оценок,Закрыто до завтра,55.652748,37.828533,"37.828533,55.652748",https://yandex.ru/maps/org/yunistrim/210485772395/,"Банк, обмен валюты"
1547497975,Внешфинбанк,"Руновский пер., 6, стр. 2, Москва, ДО ""Центральный""",,,,,Организация переехала,55.742802,37.634573,"37.634573,55.742802",https://yandex.ru/maps/org/vneshfinbank/1547497975/,"Банк, обмен валюты"
30703783985,Камкомбанк,"Марксистская ул., 7, Москва",4.9,"4,9",131,131 оценка,Открыто до 22:00,55.736124,37.666212,"37.666212,55.736124",https://yandex.ru/maps/org/kamkombank/30703783985/,"Банк, обмен валюты"
38786256215,Операционная касса,"Профсоюзная ул., 1/24, Москва",5.0,"5,0",286,286 оценок,Круглосуточно,55.686708,37.57301,"37.573010,55.686708",https://yandex.ru/maps/org/operatsionnaya_kassa/38786256215/,Обмен валюты
119460239574,Совкомбанк,"Лермонтовский просп., 10, корп. 1, Москва",4.1,"4,1",406,406 оценок,Закрыто до завтра,55.700557,37.851799,"37.851799,55.700557",https://yandex.ru/maps/org/sovkombank/119460239574/,"Банк, обмен валюты"
82227237841,Акционерное общество Профессионал банк,"ул. Ленина, 12, Дзержинский, этаж 1",4.0,"4,0",21,21 оценка,Закрыто до завтра,55.63461,37.843914,"37.843914,55.634610",https://yandex.ru/maps/org/aktsionernoye_obshchestvo_professional_bank/82227237841/,"Банк, обмен валюты"
1132633422,Банк УРАЛСИБ,"ул. Гагарина, 58, Жуковский, этаж 1",4.1,"4,1",295,295 оценок,Закрыто до завтра,55.609101,38.089704,"38.089704,55.609101",https://yandex.ru/maps/org/bank_uralsib/1132633422/,"Банк, обмен валюты"
137189659412,Камкомбанк,"Люсиновская ул., 29, стр. 1, Москва",4.7,"4,7",501,501 оценка,Открыто до 22:00,55.724771,37.622924,"37.622924,55.724771",https://yandex.ru/maps/org/kamkombank/137189659412/,"Банк, обмен валюты"
186234189287,Камкомбанк,"Тверская ул., 6, стр. 2, Москва",4.9,"4,9",921,921 оценка,Открыто до 22:00,55.761627,37.610998,"37.610998,55.761627",https://yandex.ru/maps/org/kamkombank/186234189287/,"Банк, обмен валюты"
1123630820,Локо-банк,"Люблинская ул., 165, корп. 2, Москва",4.1,"4,1",204,204 оценки,Закрыто до завтра,55.649738,37.745815,"37.745815,55.649738",https://yandex.ru/maps/org/loko_bank/1123630820/,"Банк, обмен валюты"
169196481455,Камкомбанк,"просп. Вернадского, 33, Москва",4.8,"4,8",1469,1469 оценок,Открыто до 22:00,55.680343,37.513699,"37.513699,55.680343",https://yandex.ru/maps/org/kamkombank/169196481455/,"Банк, обмен валюты"
144983611252,Камкомбанк,"Бутырская ул., 6, Москва",4.9,"4,9",973,973 оценки,Открыто до 22:00,55.795742,37.584935,"37.584935,55.795742",https://yandex.ru/maps/org/kamkombank/144983611252/,"Банк, обмен валюты"
